Id,Designator,Package,Quantity,Designation,Supplier and ref,
8,"BT2,BT1",BatteryHolder_Keystone_1042_1x18650,2,Battery_Cell,Digikey,36-1042-ND
3,"C1,C2,C3,C4,C5,C6,C7,C8,C35,C36,C37,C38",C_0805_2012Metric,12,0.1uF,Digikey,311-4266-6-ND
22,"C21,C23,C25,C19",CP_EIA-7343-31_Kemet-D,4,220uF,Digikey,399-10383-1-ND
14,"C32,C48,C39,C50,C29,C45,C56,C53",C_0805_2012Metric,8,10uF,Digikey,399-4925-1-ND
15,"C33,C40,C30,C51",C_0805_2012Metric,4,2.2uF,Digikey,399-1295-1-ND
16,"C46,C54",C_0805_2012Metric,2,0.22uF,Digikey,445-1350-1-ND
12,"D25,D29,D26,D28,D27,D17,D18,D19,D20",D_0805_2012Metric,9,LED,Digikey,475-2488-1-ND
6,"D9,D8,D12,D7,D10,D3,D6,D4,D5,D2,D11,D1,D14,D13,D15,D16",D_SOD-123,16,D_Schottky,Digikey,1727-3851-1-ND
1,"H1,H2",ESQ-126-39-x-D,2,CONN_02X26,Digikey,SAM10462-ND
7,"J7,J8,J6,J3,J4,J5",PinHeader_1x02_P2.54mm_Horizontal,6,Conn_01x02,Digikey,S9499-ND
5,J9,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,Digikey,
17,"L2,L3,L4,L1",L_10.4x10.4_H4.8,4,6.8uH,Digikey,495-1808-1-ND
10,"R11,R13,R12,R10,R9,R55,R56,R66,R65",R_0805_2012Metric,9,1.5k,Digikey,RNCP0805FTD1K50CT-ND
11,"R3,R1,R2,R8",R_0805_2012Metric,4,1M,,
18,"R50,R60",R_0805_2012Metric,2,309k,Digikey,738-RMCF0805FT309KCT-ND
19,"R51,R61",R_0805_2012Metric,2,110k,Digikey,RMCF0805FT110KCT-ND
20,"R52,R62",R_1206_3216Metric,2,0.1,Digikey,P.10PCT-ND 
4,"U2,U3,U1,U4,U24,U25",SO-8_3.9x4.9mm_P1.27mm,6,TPS2034,Digikey,296-2569-5-ND 
21,"U23,U26,U33,U22",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,4,TPS61032,Digikey,296-14418-1-ND 
13,"U31,U34",HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.85x4mm,2,bq24002,Digikey,296-9379-5-ND 
